question,answer_text
following statements TRUE according passage,Titanic world largest ship time
writer still remember story many years later,boy sister
learn passage,author daughter thankful author strict discipline
According author chief consequence brought wide application air conditioning,reduction social communications neighborhood life
According passage,results air cleaning device expectable
best title passage,Special camps
would best title passage,Morally right
Regenerative braking important process hybrid car,produces energy charge battery
June 1990 special day Mommy,female line well linked
author father volunteer hospital,want let lonely
saying Birds taught man Lucretius mean,Humans learned something beautiful sounds many animals
purpose passage,tell technology changing world
difficulty Deanna meet starting trip Ted,Getting early
feeling included laughter Englishman dropped plate,Bad luck
Playing computer games,makes clever
visiting website learn information,Blue Ridge Folklike Festival
Women tend floor reach top floor,think even better husbands may upstairs
moon shines,night
writer new level sleep deprivation began since,began teach school
Economic Mobility Project find research,rags riches story fiction reality
Baker want see model first,wanted pay less money hearing aid
following part might probably,describe strangers went way help
Brien develop mnemonics,win money playing cards
following sentences right,throw hands
Universal Postal Union formed,help move mail quickly around world
helped create American version Pizza,Raffaele Esposito Margherita
life Van Gogh,recognized people
similarity Doreen Sykora Hitoshi Sakamoto,experiences test anxiety
infer passage,writer missed father much death
passage see,Ann 1essons
want access foreign countries regions better voice quality would better choose_IP card,China Mobile
following albums song adopted movie,Bailamos
following would author agree,Economic conditions major crime
impact Apophis hits earth,might worst damage caused asteroids recorded history
inferred according passage,dispute China Japan put dilemma
know phrase two cents,usually used end statement
main idea passage,progress always bring improvement
According news report aim summit Londonis mainly,seek solutions world economic crisis
person calls Rule 240 wants,get ticket next flight
people feel squeezed when average income rises considerably,material demands faster earnings
following true according passage,Inspiration Mars would voyage around 800 million miles around Mars 501 days
learnt passage,Parents hope children career change much
teacher eyes much stress,cared much things important
writer begins,listen play
first idea making book story Alice Adventures Ground,George
Wang paid new school people like design school argue Wang,pays piper calls tune
brain developed,human brain
want get prize,please buy packet splash
universities,excellent students graduate ahead time
method Andrew Howell colleagues use study,Collecting information
following true,Universities home abroad sponsored plan
following right,Children usually eat watching
According text English,master use correctly
could best title passage,Always Follow Principles Life
boy visited wise man,getting secret happiness
purpose Miss International beauty contest,promote international friendship
best title text,Picture Smiling Horse
Gillian Swan developed Square Eyes,deal childhood obesity
following WRONG,Hong much pocket money
passage writer suggests,legal controls tourism Antarctic
following true except fact,Miley date North American concert tour successful
According tothe laws countries computer companies must,collect recycle products
text mainly,human activity affects water supply
passage know,parents try best keep away spanking children
Linda Waite studies support idea,Marriage help make ill health
David Trezequet lost game Italy,2006 World Cup Germany
passage mainly,changes fashions
Davis left author deep impression mainly,role model teach hearts change minds
author think franchising,control global economy
writer develop article mainly,giving examples
property Australia,farm
author traveling Myrtle Beach,fun brother
students pay attention using library,Keeping mobile phones silent time
study Marc Turner different many scientists,grew artificial blood using human stem cells
According passage competition,aims help poor children throughout world
feel let clerk know mistake,sense honor
kind people live difficult life,lead dog life
Doyle rather surprised,driver could call name
following statements Dubai Tower TRUE according passage,Dubai Tower apartments shopping mall
following moved author,homeless man bought food dog money
fifty late 19th century mother,unlikely find job even likely
According passage learn,old couple got divorced last
conclude according passage,writer worried inflation
writing passage author tries show,try rely everything
writer like food grandma cooked growing,eat without
hundreds people sent money help,Huang decided thank everyone helped
following would best title passage,make homework less work
following serves best title story,Teacher Touch
following sentences TRUE,third pedestrian kind hearted driver would think
According Prof Seashore,recognition words become active ones
sit want fly balloon,Inside basket
following sentences true,old days people often ate dumplings poor
following true,people hold cup longer time pay less
passage mainly,Harmony family
passage mainly,Express gratitude loved ones words
best title text would,Pets Join Workforce
people know plante round Barnard Star,Sometimes see planet pulls star one side makes move slower
author mom always say Poor Tiffany,thought Tiffany spoiled mother
Bedtime Math iPad app,encourages children together parents solve math story problems
Wendy Peter teach Stoopy,help pick litter
apply visa,moment accepted school
following ways stop smoking mentioned passage,Offering money help people stop smoking
reason people sit tree like Newton,willow barrier put around tree
new wellness policy declared order,reduce child overweight caused bake food
conductor punched ticket Scots,thought one person inside
According Chinese newspaper best way deal dispute,declaring war Japan without moment delay
According passage animals deer wolves bears clean,replacing skin fur naturally
judge length hair clients Clements mainly depends,sense touch
feed pets raw necessary cleaning,preparing raw meat pets
situation moment,school fame important long child certificate
passage mainly,Smell influence
best title passage,Love money
According text following longest history,San Francisco Chinatown
author stopped work immediately,decided drive home fishing tools take old man fishing
writer mother started working Saturday,wanted buy dress writer wanted
send short messages person must,make sure mean harm
following true,rumors Myanmar turned relief aid
inferred article,urgent government take action
infer passage,Tom finally got forgiveness Carrie
inferred talk father son,Josh felt quite good independence
best title passage,world oldest message floating bottle
main purpose Clean Green Weekend,make city beautiful
Maria likes buy food,supermarkets
Siwosz want leave homeland America,wanted play tennis good education
following true,time smile someone first time buy ice cream
following statements true,job performed differently payment job different
old Jack,Sorry know
Chris Brown think Justin Bieber singing,liked much
Owen greatest achievement New Lanark,providing children good education
following TRUE,New Yorkers pay use library
statement true according passage,join birdwatching group learn beginning skills
government set rules films shown Spain,limit number foreign movies
Michael Landsberry shooting,tried persuade shooter put gun
Amazon water lily white flowers,change color
man country eager access law continuously,anxious explore nature law
purpose article,tell enjoy water skiing properly safely
According author husband could blanket wall Line Para probably means,existence French woman eyes
Dyson left Design Museum thought museum,loyal original purpose learning
According Poll people America believe,God contributed present form human beings
know dog,dog pups danger dying hunger
Environment clubs ask students,bring lunches bags used
learn first sentence passage,many people sleeping problems
main purpose passage,advertise certain product
Japan preschool education focus,shaping children character
Students choose Mathcounts Club order,successful science careers
best title passage,important animal
past Americans tended,spend time talking day experience dinner table
young man would like exchange eyes money,thought eyes important
passage know,bus driver driving fast
Gould Schipper going,take part sports event
According passage communication human beings would smoother unless,people considerate towards
hear Mike Thomas Jazz Band,Derby Arms Friday
know Child History World,first used history textbook Calvert School
made Anna decide take parents court,pictures sitting toilet
best title passage,Taste Airplane Food
Tile app help,find missing items
made Smoller feel strange Jim case,Jim death closely connected father
passage mainly talk,advantages disadvantages commuting students
students third floor,lessons
author compare old lady grandmother,suggests old lady touch comforting
first staged Death Salesman,achieved huge success
Decade Backpacking considered milestone,stimulated Chinese craze travel writing
oceans polluted,garbage sewage medical waste
According text Colorado Plateau,ranges least four states
Lexi accident,unable feel anything
make classmates feel important,watch listen carefully
inferred passage,lowering world temperature little would lead agricultural disasters
best title passage,International Day
Dyson cleaner invented purpose,helping people use cleaners easily
title Taxes Taxes Taxes imply,Americans satisfied three types taxes
first last scenic spots visited,Terracotta Warriors Great Mosque
sentences area around Salt palace hotel true,several roads hotel
opens mouth fox,gets meat
passage author argues,mote evidence shows college education may best thing high school graduates
interesting thing sailing Rhine River pleasure boat,see beautiful scene along banks hillsides
passage learn,sharing special skills help develop friendship
reason use different kinds plants clean air,plants absorb kinds harmful indoor chemicals
best title passage,Opera Star
following best title passage,Celebrating mother 90th birthday
driver knew writer name,front suitcase
passage mainly talk,Economic growth environmental damage
protecting children knowledge failed writer means parents try best,keep children realizing failed
Walker asks students listen music,reduce bad behavior
dog start eat soft food,one month old
writer went another room,get natural recording friends conversation
following statements TRUE,college freshman careful choosing credit card
made author feel fortunate,need Rhubarb bark
author fascinated cars,read exotic things cars brother magazines
writer made game,make children chores
According survey Qinfang found primary school pupils,dislike forced things
sex education mentioned passage,show sometimes mothers different opinions
realized heating engineer would,pay park car garage
author mention 007 money belt,persuade tourists show others keep money
study many dogs barked jumped scratched,left alone
According Balcombe learning animals live think,help people care animals
need experiment,Water
following best title passage,Homeless Teen Graduates Speaker High School Class
passage mainly,app reporting emergency
inferred passage,girl determined golden house beginning
According passage following true EXCEPT,depression destroy people immune system social capabilities
article mainly,Washington recovering brain
People easily get information advice flood time day,Floodline 0845 988 1188
advantages fireworks seen EXCEPT,debris fireworks even find way water
found fish firstly,John
infer report passage,Bearing second child affects women career degree
passage learn,discovery Earth like planet could happen near future
opinion Barber Nick,set good example disabled kids
Children may learn rules language,repeating experiments
According passage advised,set higher life goal
one find study partner Livemocha,select suitable people email
best title passage,Amazing Gift
following statements true according text,Merriam webster Collegiate Dictionary becomes best seller 100 new words added
purpose text,introduce new film reader
USDA passage,office government
following titles goes text,Global warming causes
unique ClearPath,helps drivers know road conditions ahead time
true,repaired watches evenings fun
called BRICS nations include,New Zealand
kinds parents regarded praise junkies,praise children much
passage conclude icebergs,preserve ocean life
inferred passage,number competitions whose winners awarded extra credits smaller
According article following statements TRUE,cats dogs human good partners
best title passage,Face Challenges Bravely
benefit new tobacco control law,Getting wonderful gifts International Children Day
Pictures animals painted walls caves France Spain,pictures thought helpful
would best title passage,first face transplant
following true according passage,need tell coach feel tired
reason music endure,wore special suits
place may London visited tourist spot,Big Ben
function paintbrush,write message onto white paper
According passage infer,girls watched movie remained anxious
sentences think RIGHT,Deaf people speak fingers
whole article tells,starting rebuild earthquake hit areas
following true Nick White,trapped lift hours
Thailand called Land White Elephant,white elephant national symbol 1920s
experiment lessons given,night time
high school students important,choose proper university
old woman asked something eat,none three rich ladies gave anything
know note Bellis attached camera,camera missing one
Traditionally people usually thought,women concerned greatly wore men
conclude passage,USA demand oil 2010 low 2004
infer author,makes mental preparations beforehand focus work quickly
author describes Jaggers large clean white hands order,show Pip recalls Jaggers
harder apply Hong Kong schools,kids mainland studying
Mrs Fong family injured,found house shaking rushed children
building highest existing building,Burj Khalifa Dubai
author might support,truth image equally important
Kevin usually afternoon,studied school
Disney make Donald Duck,things Mickey could
passage mainly tell,Parents use technology stay touch children
Sen McCain election would Palin,would vice president elect United States
Many teachers parents worried children,
learn passage,Baseball football basketball popular sports America
suggested passage,close relation usually similar intelligence
reading passage story mainly,Abraham Lincoln
policemen told look way,Rolls car could faster four miles hour
theme Shanghai World Expo,Better City Better Life
Many Americans prefer basketball football,played indoors throughout winter
statement TRUE according passage,Intel Science Talent Search intense competition
main idea passage,make small business successful
honor hospital take care Baines,respectable lady
get flu vaccine,body develop antibodies
Albuquerque high school students organized dinner,let people learn Buy Nothing Day
following statements agree passage,Imperial College business school
Ping want know,wants know something English people
Chinese tourists encouraged,Respect local customs wherever travel
best title passage,Packaging Talk
writer regretted,manage find aunt arrangement Mazy
also written newspapers magazines according text,Richard Louv
Follow Heart,book
following would best title passage,Japanese cellphone industry intends expand overseas markets
following TRUE according text,Scientists trying discover way work together
headmaster Bryan Lewis holds view,fountain pens helped build students self respect
Lorenzo Bertolla,brand name clothes
book released Ministry Education Singapore,teaching methods
According Tom Heffernan findings,would contribute fighting smoking
old man bought ticket,got train
attend special four week mini session,old enough class
main idea passage,Animals predict extreme weather terrible events
writer implies passage,paying children housework good
following best topic passage,Online shopping increases rapidly Chinese New Year
tiger wants find,food
inferred passage lobby group Consumer International wants,make product labeling satisfy ISO requirements
following statement TRUE,cups filled tea
fake friends industry come Japan,social economic changes
following TRUE according passage,new technology contributes solving problem illegal fishing
author wife expect,exercise gym
Josh Duhamel led beach run help Red Cross,raise money places suffering disasters
following proves Blunt took unusual path stardom,Blunt began pursue career music military service
Henry Ford statement taken negatively,conflicting relationship big corporations labor
following TRUE according passage,Tile linked phone without Bluetooth
ender,control ropes jumpers
According author many people increase order,deal difficulties life
learn text,Noah mom takes great pride Case Dignity
school pupils learn foreign language well,much time
main idea passage,Parents stop kids watching many today cartoons
writer believed wanted get know strange city,get lost
boss told away find another job,late work
following statements TRUE,sailor cleverer
happened little girl end,got ice cream big man shoes
following true film,characters film face pressure study families
following true parents home school,must receive special curriculums university
author want tell passage,British people overuse sorry daily life
children hang school bag national flag gate,pass exam
following sentences TRUE,People got idea inventing lightning rod kites
following Key probably agree,New Zealanders attach great importance protecting sanctuary
happened people lived Willits 1964 1995,greater chance severe disease
David Pecaut idea founding new Ganada Prize,advance Canada honor opportunities
common feature three writers,one famous work
passage mainly,negative effects Pokemon since release
text mainly,Arthur Miller best known play
author buy something one legged man,author pity man
learn passage,Maria fully understood child mind
Gray Stahl accept money,Melvin school
Lisa become conscious,back platform
following true,California law allow children act shows
author mentions daughter show,teenagers constant connection cell phones
following TRUE according text,author benefited lot talking phone Suzie
best title passage,Getting Know Sign Language
passage mainly,Information end world predictions
following aim new museums,study significance collecting
passage mainly tell,Tiger Mom changed wants soft
passage probably found,booklet gallery
best title passage,Tommy Hobby
encounter recycling team shows,desperate correct mistake
learn passage,Jack pine seem belong family pine trees
infer passage,understanding brain changed greatly past decades
teacher students reported boy,took action boy
following statements true according passage,Swift became multiaward winner began sing stage
happened came home office evening,car back
author think service,provides good service higher price
would best title passage,Six Environmental Activists Win Goldman Prize
According passage following statements true,Britain first country created three person babies
following best complete son words Dad,explain
inferred passage,results study make families pets feel ease
Yang punches hole new belt,remind eat much
author purpose writing article,call people join Slow Food Movement
One things make Fiji tourist attraction,good weather year round
promote body health according passage,Regular exercise proper diet nutrition
people without jobs doctors,get free prescriptions
animals hide,want protect
According passage Xun story Diary Madman popular,first novel use everyday language
following true,Bamboo plants able grow well part world
purpose passage,ask people watch movie
following statements true,New advanced technology makes vehicle operation rely vehicle
infer passage,Going space needs power escape gravity
following positions doctor degree,Assistant adjunct professors
following true,found new home another planet year 2400
guests ask something strange manager good hotel would think,meet needs
writer reads books borrowed library faster books bought,books bought due date
victims rising house prices,real home buyers
learn passage,People get full night sleep mainly much stress
following sentences WRONG,Wang Zhaolin foot got hurt exam
first time writer thought would probably survive,worker climbed rope
Women take disadvantages high heels seriously,wish improve appearance
Sark Channel Islands would probably attract,want enjoy quiet holiday
know green roof,covered grass flowers plants
meaning ordinary people,people whose surnames ordinary
author passage aims,stress benefit taking notes hand
According passage Shi Cui Jiping,disabled people full love
passage mainly,Helping enlarge knowledge word Dutch
would best title text,New Honor Web Inventor
bookstore different bookstores,cashier
learn text course,offers cooking classes well
passage mainly tell,High fuel prices influences school buses
aim tech free challenge,help students understand technology affected lives
According passage following statements true,first time virus found products company
know survey text,lasted whole school year
Akatsuka final hope robot team,compete humans
writer passage attempting,explain present day reading habits developed
best title passage,Robot technologies widespread Japanese daily life
passage mainly,study indicates Native Americans trace ancestry six women
Faced unfavorable market situation author decided,improve service
following problem caused cultural adaptation according passage,Human activities done damage balance nature
talking academic achievements Michelle wanted,warn enough study well
Ashok Gadgil given honor,improved lives people developing countries
matter James oasis,wanted water fell mire
purpose World Largest Rattlesnake Roundup,control population rattlesnakes
example printed hearing aids mentioned show,items used impossible make
purpose divers journey deepest point earth find,water currents life great depths
Americans automobile association foundation traffic safety plans,try Japanese method certain areas
best title passage,Hobbies Teenagers
passage mainly tell,child got painful process finally saved sin felt unhappy
Recent researches performed less complicated implements mainly,test chimps social tendencies instead tool skills
passage infer,Charlie support family enough money
first thief steal money bank,told computer take away money account
read advertisement Tom decided,see buy bike
TRUE according passage,Cornwall north England
author went quiet canal side cafe,get away crowds
following serve proper title passage,Fifty States Project
writer think codin,helps children creativity
Shields talked Financial Times Digital Media Broadcasting Conferences following EXCEPT,plan developing mobile phone operating system
text learn,Nikki Sellers suggests always putting things back
know Garden Burgers Truman,store recorded highest sales smaller population
words something special refer,ability make difference
person open shy noisy quiet time might,Type
following statement TRUE according passage,find good place study
Roskilde Festival festival,Danas enjoy
best title passage,Year Monkey
author mentions lipoprotein lipase mainly,prove sitting long bad body
infer Baima girls wore traditional costumes greet visitors mainly,way show culture attract visitors
Albert Schweitzer decide doctor,time doctors great need Africa
author time mainly refers time need,focus taking care baby
concluded passage,teenagers away fast food advertisements
best title passage,Soil Food
According research passage British people tend,live work far away born grew
following statement TRUE,Javier faced number challenges put risks
made author feel upset,feeling less valued
passage mainly tells,people different countries celebrate birthday different ways
According passage true today women,Women report news sports
school considered paradigm college campuses,Oxford University
letter,English student another English student
passage know writer grandmother,see well
World Health Organization think processed meats,likely cancer
writer learned experience,Accumulation small steps may lead something magnificent
Parker went military camp,find matter letter true
One neighbors sent email author brother,show appreciation
following states fastest growth rate mixed race population,North Carolina
title passage,Patterns Classroom
statement true,wanted look different wear black brace right knee
Capuchin monkeys people great helpers,hands like people hands
major problem people managing time,people keep balance managing time
students advised,Eat slowly exercise regularly
Young Inspirations mentoring program aims,provide youth unique experiences
following TRUE according passage,Sleep problems serious among young people
Jim Horne thinks minute nap appropriate,people risk deep sleep may feel tired
David different young people age,earns extremely high payment
SPCA decide teach three dogs learn drive car,encourage people adopt abandoned dogs
experiment shore crabs,able choose shelter
text written,tell antifreeze
learn passage,dairy products may harm health
following true Question Box according passage,modern technologies used improving service
following True,Tim mom watch ball games club
Cartmill say regular check ups men,save money long run
following right,Katie native Glasgow
learn passage,man found use crying spilt milk
best title text,fox horse
purpose article,arouse awareness public help conserve lungs planet
suitable title passage,Texting Walking Way
major finding Robinson study,Parental involvement beneficial expected
get web site,jokes
four programs one open weekends,Windsurfing One day course
author mentions bumper sticker order,introduce readers Marwick
following TRUE public bookshelves,People take books leave books
know,one likes surfing Internet rent room Slidell
conclude article,Kenny success cooking lot family
difference gray squirrels red squirrels mainly lies,place store walnuts
People read newspaper,learn whatever want
take part program,Add code organization support next MSN name
Lion day,good sleep favourite tree
infer passage,Valentine Day brings many benefits
door room always shut suggests son,keeps away parents
game warden mean saying law wrong,writer break law fishing invalid license whatever reason
following statements TRUE programs,impact programs remains estimated
learn text 2008,Wind power would leader renewable energy
learn passage,survey came four countries
people willing spend money Christmas,Goods much cheaper period time
According passage China food industry full faking cheating,punishment unscrupulous businessmen serious enough
passage learn,NC63 organization
Lone shout man beginning story,prevent flowers ruined
farmer want keep horse,horse old much work
inferred passage,Mrs March willing help poor able influence daughters
one right,Tom clever
reason father feel irritated son asked question times,father loved son much never got tired
following true,Irish used red cross blue background memory George
following shows school democratically managed,Students right staff voting
passage,living age
infer passage,Students love holidays get mind learning holidays
statement true according text,Isabella Jack classmates studying Paris
best title passage,Danger much sugar
would best title passage,Multi tasking single tasking
writer first saw alien,thought alien
passage suggests Jules Verne,knew great deal laws physics astronomy
Mary mother,prepared Mary favorite meal
Research shows people physical mental health much,amount support get others
According passage following best plan,walk supper working days
writing article writer hopes,encourage people offer help
statements depression TRUE,suffer depression feel dissatisfied
function Van Gogh Gallery,provide information artist life work
following True convection ovens conventional ovens,uses either gas electricity provide heat
author uses Shetland horse example show,horses less variety domestication
school closed down,girl mother talk former teacher
passage mainly,Sea turtles suffering plastic pollution
makes Connie proud,Getting new Guinness world record
made author change attitudes her hometown,Travelling New York City
following WRONG,IMPOSSIBLE based people experience sandstorm
purpose story,tell debate started Italian middle schools way students dress School
passage,differences sleepaway camp day camp
learn passage COSMEO,aims help kids make rapid progress studies
text suggests,people use flower dictionaries longer
Roosegaarde appeals people Beijing,pay attention air pollution solve problem finally
CCTV send team join adventure,journalists CCTV reported Chinese climbing mountain
infer text,Potato Head taken apart
library,read magazines
text mainly kids,using electronic devices
learnt text,kids many electronic devices choose
According writer highly skilled workers,unable produce fine goods speed machines
year ago writer paid attention English idioms,cared little teacher emphasis
following true according passage,failed sail first boat
story woman find Henry mother,goes wrong house
text mainly,Gallaudet set first school deaf America
purpose article,draw public attention weakness American school tradition
purpose text,introduce new model farming
ECAs important,prepare students future
first thing would setting Google SafeSearch,Sign log Google account
creators start interviewing famous people,attract people attention website
infer man,tried share cookies woman
following Taj Mahal true,workers building Taj Mahal came Central Asia
following reason English language spread numerous parts world,large British population
China Marco Polo,saw many wonderful things
poor man held bread soup,make smell taste little better
main idea passage,time stricter kids
learn passage,Chuck Wall unusual teacher
study carried analyzing,volunteers reactions horrible pictures data brain scans
Lee ask children help,garden much big
purpose passage,defend role testing education
international high schools New York,expand one school ten
Paul boy,laws made protect environment pollution
TRUE according passage,grandfather complains pays attention better life
main idea passage,Children China sickened school pressure
According article students take part Oxford University project,guaranteed sleeping time morning
following statements TRUE,Robots walk two legs talk like people still far
Caterpillars evolved recently warn strangers,making scraping sounds
following writer opinion,difficult vet
passage learn author,prisoner
following right,Peter tells lie composition
many students commit suicide,
probable title according passage,Test Stress Comes
Grandma ask author tomato garden,enjoys staying working
infer text,Rick generous man
following best title,Wrong ideas sports exercise
last sentence whole passage gr8 busy rite call 2nite May probably means,great busy right call tonight
know chronic pain,caused wrong body position
saying rewards man industry follow equal steps progress labor Line Para author means,laborious work ensures growth industry
following sleep tips mentioned passage,Follow flexible sleep timetable
text mainly,expressions like LOL FYI added Oxford English Dictionary
information collects processes SignalGuru able,allow drivers adjust speed
message mainly tells,origin Valentine Day
Charlotte save Wilbur life,spins words web
audiences stand cheer Zhu Zhiwen sang song,voice rich powerful
According text May song Beautiful Seed,expresses people able change world
following measures companies adopted cope ageing workforce EXCEPT,encouraging former employees work overseas
main idea passage,care others road life life
learn passage,China probably going delay retirement age
According passage employers want hire workers,turn wrong people say aim
passage finished subtitle could next,Sought Painting
following best title passage,brothers different personalities
passage mainly,invention Internet browser
infer reading passage,Myth Christianity technology influence unique style
main purpose passage,warn people smoke
following true,Arts develop children creative ideas
According head teacher pupils able take exam,computer system breaks
would find famous singer shoes,Room
know dilution theory,Parents attention drop children coming
know story,Bunter somehow fallen bridge backwards
extra money brought parents,reduce negative effect child
Jerry shot,open safe time
best title passage,Enjoy Life
food called brains,looks like brains
following statements true according passage,start drinking potentially damages one life
Jean Clottes says people visit mountain,think drawings disappear
author say national data universities performance commercialization,reflect differences among universities
inferred passage skateboarding becoming,sport used better young Cambodians life
small basket,Four oranges
would best title passage,Less Diligent American Children
passage mainly,Nobel winner Youyou strongly supports TCM research
purpose passage probably,call people offer help Africans
best title passage,christmas tree gives hope miracle
Bank loans mainly made women,likely spend earn children
infer text,Learning Chinese becoming popular America
person hurt badly bleeding first,Try stop bleeding
main topic passage,cliques effects children
inferred,happiness spreads faster widely unhappiness
best title passage may,Becoming Adult
truck hit,big tree
According text following Hopeless Ant need present,Keep away danger
way laughter benefit people health,Laughter makes blood flow fast
interested personal life stories choose book,Stolen Life
true suit according passage,spare owner trouble soaking dry cleaning applying soap
planning visit Britain would better first visit,Traveline
next section mainly talk,manage get rid stress
students afraid exams,afraid failing
main idea passage,artist creates homes homeless
known passage,sheep eat grass field minds may active
leave hole front nest,birds fly
benefit beautiful people,Good looking people often regarded many good qualities
learn text writer believes,one keep childhood act young sometimes even grown
proper way release fish,move water till swim
following true,Stephen answers big questions
purpose writing passage,introduce practical method making children eat vegetables
According article finishing school,young women behaved badly sent
following right,telephone number Chinese doctor 137629390
author excited,could see Rodgers Hammerstein Cinderella stage
following best summarize passage,Kids poor eating habit little schools
following best shows author attitude towards mobile phones,Mobile phones bring convenience well little secret people
easiest way making payment mentioned passage,online payment system
writer mean saying old fashioned,new playground offers fashion poplar past
student film maker wants ask famous film makers advice,Scene First Stuedent Film Festival
three films mentioned text share features EXCEPT,take second place USbox office chart
According passage following people would probably call 18007892647,Parents want know whether children mental health problems
salesman retired young,could remember simple tasks
Friday afternoon author,mood help others
point conversation father son,father intends make son accept idea Rufus may stay house
following true,Reading instructions must carefully
According passage drink sells best USA,Beer
writer suggest example elderly grandmother,also lend hand people need help
best title reading,Everything Happens Good
taking exam,paper hand
DARPA organized race order,improve vehicles future wars
text mainly,playing Barbie dolls could limit girls career choices
infer passage,environment influence animal emotions
Jeffries name,former holder record longest ears dog
following TRUE according passage,People love eat popcorn watching movies
want appear confident,keep head level
Smith concludes probably aliens planets,suitable living environment
author say education become global enterprise,extensive exchange students among different countries
Carole chose Cooking Club,could get food Cooking Club
would best title passage,Blogging America newest profession
passage mainly talks,benefits studying abroad
Ted school,goes school bike
George follow rules EXCEPT,record life much possible using phone
According Dom main reason accident,nobody fishing ship saw
writer never forget American History professor,would make class lively interesting
lianas adapt environment rainforest,rely plants reach canopy layer
success new series surprising,different successful series
following best serve title passage,Dogs Understand Way Researchers Say
best title passage,Leak causes panic
media company ranks schools basis,information like test results
Zheng mean saying lifetime thing,trip research station extremely exciting
last sentence means,diameter tube kind liquid decide greatness force
learn author mother,lives traditional way
inferred baby monkey feels secure,cares less whether mother still around
village leader thinks,build new houses also careful temple
safely concluded,descriptions Jobs nice book
passage mainly,suggestion city problems traffic pollution
Mother Day party people mention lost mums,simply afraid causing sad feelings
inferred passage,author might volunteer shelter
learn text many newly married people,find hard pay need
text tells,story film
Norwegian farmers fishermen important effect,Norwegians respect representatives Norwegian culture
infer passage,Automatic responses always make difference
Professor Deiner opinion,Asians focus others respect approval westerners
Mrs Allen,neighbour
16th 17th centuries artists thought,watercolour fit finished works
passage written mainly tell,make good use review sites
text mainly,customs Iceland like
Expectation excitement suddenly changed anxiety fear following author include reason change,Growing homesick might seriously affect academic performance college
passage learn experts used believe,second language stopped children studying well mental development
six month study scientists fear,polar bears disappear even faster ever expected
would best title text,Background noise affects taste foods
Wilma Subra study job 1981,Toxic substances environment
saying Sunday like Monday used writer means,line work time rest time unclear
